,Mode,,Frequency,,Isotopologue
MODE,184,FREQUENCY=,3178.80358,(CM**-1),CHHHH
MODE,185,FREQUENCY=,3216.19439,(CM**-1),CHHHH
MODE,186,FREQUENCY=,3227.45137,(CM**-1),CHHHH
MODE,187,FREQUENCY=,3240.86445,(CM**-1),CHHHH
MODE,188,FREQUENCY=,3269.7629,(CM**-1),CHHHH
MODE,189,FREQUENCY=,3293.2242,(CM**-1),CHHHH
MODE,190,FREQUENCY=,3293.36641,(CM**-1),CHHHH
MODE,191,FREQUENCY=,3297.09497,(CM**-1),CHHHH
MODE,192,FREQUENCY=,3387.45079,(CM**-1),CHHHH
MODE,193,FREQUENCY=,3661.31527,(CM**-1),CHHHH
MODE,194,FREQUENCY=,3664.94757,(CM**-1),CHHHH
MODE,195,FREQUENCY=,3753.1853,(CM**-1),CHHHH
,,,,,
,,,,,
12-1-1-1-2,,,,,
MODE,1,FREQUENCY=,-909.05876,(CM**-1),CHHHD
MODE,8,FREQUENCY=,21.33203,(CM**-1),CHHHD
MODE,9,FREQUENCY=,23.50389,(CM**-1),CHHHD
MODE,10,FREQUENCY=,25.46843,(CM**-1),CHHHD
MODE,11,FREQUENCY=,27.55969,(CM**-1),CHHHD
MODE,12,FREQUENCY=,28.33404,(CM**-1),CHHHD
MODE,13,FREQUENCY=,32.07887,(CM**-1),CHHHD
MODE,14,FREQUENCY=,36.9122,(CM**-1),CHHHD
MODE,15,FREQUENCY=,42.12246,(CM**-1),CHHHD
MODE,16,FREQUENCY=,45.26641,(CM**-1),CHHHD
MODE,17,FREQUENCY=,50.17812,(CM**-1),CHHHD
MODE,18,FREQUENCY=,53.09378,(CM**-1),CHHHD
MODE,19,FREQUENCY=,55.58684,(CM**-1),CHHHD
MODE,20,FREQUENCY=,58.71356,(CM**-1),CHHHD
MODE,21,FREQUENCY=,62.95121,(CM**-1),CHHHD
MODE,22,FREQUENCY=,64.68378,(CM**-1),CHHHD
MODE,23,FREQUENCY=,69.91592,(CM**-1),CHHHD
MODE,24,FREQUENCY=,76.65061,(CM**-1),CHHHD
MODE,25,FREQUENCY=,83.32893,(CM**-1),CHHHD
MODE,26,FREQUENCY=,84.57992,(CM**-1),CHHHD
MODE,27,FREQUENCY=,89.88957,(CM**-1),CHHHD
MODE,28,FREQUENCY=,99.07681,(CM**-1),CHHHD
MODE,29,FREQUENCY=,109.76527,(CM**-1),CHHHD
MODE,30,FREQUENCY=,110.5198,(CM**-1),CHHHD
MODE,31,FREQUENCY=,115.606,(CM**-1),CHHHD
