f_100,d13C_100,dD_100,D13CH3D_100,D12CH2D2_100,f_66,d13C_66,dD_66,D13CH3D_66,D12CH2D2_66,f_33,d13C_33,dD_33,D13CH3D_33,D12CH2D2_33,f_0,d13C_0,dD_0,D13CH3D_0,D12CH2D2_0
0.99961,-41.36008,-169.41916,3.10609,8.22436,0.99961,-41.35991,-169.41981,3.10684,8.22392,0.99961,-41.35975,-169.42051,3.10758,8.22352,0.99961,-41.35959,-169.4212,3.10831,8.22312
0.9996,-41.35985,-169.41729,3.10603,8.2241,0.9996,-41.35967,-169.41797,3.10681,8.22365,0.9996,-41.35951,-169.41868,3.10756,8.22324,0.9996,-41.35935,-169.41939,3.10832,8.22283
0.99959,-41.35962,-169.41543,3.10598,8.22384,0.99959,-41.35944,-169.41612,3.10678,8.22338,0.99959,-41.35927,-169.41685,3.10755,8.22296,0.99959,-41.3591,-169.41758,3.10832,8.22254
0.99958,-41.35939,-169.41356,3.10593,8.22358,0.99958,-41.3592,-169.41427,3.10674,8.22311,0.99958,-41.35903,-169.41502,3.10754,8.22268,0.99958,-41.35886,-169.41577,3.10833,8.22225
0.99957,-41.35916,-169.41169,3.10588,8.22332,0.99957,-41.35897,-169.41243,3.10671,8.22284,0.99957,-41.35879,-169.41319,3.10752,8.2224,0.99957,-41.35861,-169.41396,3.10833,8.22196
0.99956,-41.35892,-169.40983,3.10583,8.22307,0.99956,-41.35873,-169.41058,3.10668,8.22258,0.99956,-41.35855,-169.41136,3.10751,8.22212,0.99956,-41.35837,-169.41215,3.10834,8.22167
0.99955,-41.35869,-169.40796,3.10577,8.22281,0.99955,-41.35849,-169.40873,3.10664,8.22231,0.99955,-41.35831,-169.40953,3.10749,8.22184,0.99955,-41.35812,-169.41034,3.10834,8.22138
0.99954,-41.35846,-169.4061,3.10572,8.22255,0.99954,-41.35826,-169.40689,3.10661,8.22204,0.99954,-41.35807,-169.4077,3.10748,8.22156,0.99954,-41.35788,-169.40852,3.10835,8.22109
0.99953,-41.35823,-169.40423,3.10567,8.22229,0.99953,-41.35802,-169.40504,3.10658,8.22177,0.99953,-41.35783,-169.40588,3.10747,8.22129,0.99953,-41.35763,-169.40671,3.10835,8.2208
0.99952,-41.358,-169.40237,3.10562,8.22203,0.99952,-41.35779,-169.40319,3.10655,8.2215,0.99952,-41.35759,-169.40405,3.10745,8.22101,0.99952,-41.35739,-169.4049,3.10836,8.22051
0.99951,-41.35776,-169.4005,3.10556,8.22177,0.99951,-41.35755,-169.40134,3.10651,8.22123,0.99951,-41.35735,-169.40222,3.10744,8.22073,0.99951,-41.35715,-169.40309,3.10836,8.22022
0.9995,-41.35753,-169.39863,3.10551,8.22152,0.9995,-41.35731,-169.3995,3.10648,8.22096,0.9995,-41.35711,-169.40039,3.10742,8.22045,0.9995,-41.3569,-169.40128,3.10837,8.21993
0.99949,-41.3573,-169.39677,3.10546,8.22126,0.99949,-41.35708,-169.39765,3.10645,8.2207,0.99949,-41.35687,-169.39856,3.10741,8.22017,0.99949,-41.35666,-169.39947,3.10837,8.21964
0.99948,-41.35707,-169.3949,3.10541,8.221,0.99948,-41.35684,-169.3958,3.10642,8.22043,0.99948,-41.35663,-169.39673,3.1074,8.21989,0.99948,-41.35641,-169.39766,3.10838,8.21935
0.99947,-41.35684,-169.39304,3.10536,8.22074,0.99947,-41.3566,-169.39396,3.10638,8.22016,0.99947,-41.35639,-169.3949,3.10738,8.21961,0.99947,-41.35617,-169.39584,3.10838,8.21906
0.99946,-41.3566,-169.39117,3.1053,8.22048,0.99946,-41.35637,-169.39211,3.10635,8.21989,0.99946,-41.35615,-169.39307,3.10737,8.21933,0.99946,-41.35592,-169.39403,3.10839,8.21878
0.99945,-41.35637,-169.3893,3.10525,8.22023,0.99945,-41.35613,-169.39026,3.10632,8.21962,0.99945,-41.35591,-169.39124,3.10736,8.21905,0.99945,-41.35568,-169.39222,3.10839,8.21849
0.99944,-41.35614,-169.38744,3.1052,8.21997,0.99944,-41.3559,-169.38841,3.10628,8.21935,0.99944,-41.35567,-169.38941,3.10734,8.21877,0.99944,-41.35543,-169.39041,3.1084,8.2182
0.99943,-41.35591,-169.38557,3.10515,8.21971,0.99943,-41.35566,-169.38657,3.10625,8.21908,0.99943,-41.35542,-169.38758,3.10733,8.21849,0.99943,-41.35519,-169.3886,3.1084,8.21791
0.99942,-41.35568,-169.38371,3.10509,8.21945,0.99942,-41.35542,-169.38472,3.10622,8.21881,0.99942,-41.35518,-169.38575,3.10731,8.21822,0.99942,-41.35495,-169.38679,3.10841,8.21762
0.99941,-41.35544,-169.38184,3.10504,8.21919,0.99941,-41.35519,-169.38287,3.10619,8.21855,0.99941,-41.35494,-169.38392,3.1073,8.21794,0.99941,-41.3547,-169.38498,3.10841,8.21733
