,Mode,,Frequency,,Isotopologue
MODE,357,FREQUENCY=,1863.08781,(CM**-1),CDHHD
MODE,358,FREQUENCY=,2373.086,(CM**-1),CDHHD
MODE,359,FREQUENCY=,3209.34986,(CM**-1),CDHHD
MODE,360,FREQUENCY=,3318.87405,(CM**-1),CDHHD
,,,,,
,,,,,
12-1-2-2-1,,,,,
MODE,1,FREQUENCY=,-141.58368,(CM**-1),CHDDH
MODE,341,FREQUENCY=,77.05603,(CM**-1),CHDDH
MODE,342,FREQUENCY=,87.36565,(CM**-1),CHDDH
MODE,343,FREQUENCY=,114.03626,(CM**-1),CHDDH
MODE,344,FREQUENCY=,128.13075,(CM**-1),CHDDH
MODE,345,FREQUENCY=,131.42618,(CM**-1),CHDDH
MODE,346,FREQUENCY=,204.36613,(CM**-1),CHDDH
MODE,347,FREQUENCY=,218.12641,(CM**-1),CHDDH
MODE,348,FREQUENCY=,305.32086,(CM**-1),CHDDH
MODE,349,FREQUENCY=,333.94808,(CM**-1),CHDDH
MODE,350,FREQUENCY=,356.03008,(CM**-1),CHDDH
MODE,351,FREQUENCY=,370.04794,(CM**-1),CHDDH
MODE,352,FREQUENCY=,409.79388,(CM**-1),CHDDH
MODE,353,FREQUENCY=,523.45114,(CM**-1),CHDDH
MODE,354,FREQUENCY=,945.06063,(CM**-1),CHDDH
MODE,355,FREQUENCY=,1061.48364,(CM**-1),CHDDH
MODE,356,FREQUENCY=,1311.29397,(CM**-1),CHDDH
MODE,357,FREQUENCY=,2297.09896,(CM**-1),CHDDH
MODE,358,FREQUENCY=,2473.67126,(CM**-1),CHDDH
MODE,359,FREQUENCY=,2593.69137,(CM**-1),CHDDH
MODE,360,FREQUENCY=,3258.9582,(CM**-1),CHDDH
,,,,,
,,,,,
12-2-1-2-1,,,,,
MODE,1,FREQUENCY=,-142.08279,(CM**-1),CDHDH
MODE,341,FREQUENCY=,78.12013,(CM**-1),CDHDH
MODE,342,FREQUENCY=,90.04791,(CM**-1),CDHDH
MODE,343,FREQUENCY=,128.3071,(CM**-1),CDHDH
MODE,344,FREQUENCY=,128.4727,(CM**-1),CDHDH
MODE,345,FREQUENCY=,133.38524,(CM**-1),CDHDH
MODE,346,FREQUENCY=,206.73797,(CM**-1),CDHDH
MODE,347,FREQUENCY=,218.15851,(CM**-1),CDHDH
MODE,348,FREQUENCY=,314.45513,(CM**-1),CDHDH
MODE,349,FREQUENCY=,345.05949,(CM**-1),CDHDH
MODE,350,FREQUENCY=,356.20516,(CM**-1),CDHDH
MODE,351,FREQUENCY=,403.16731,(CM**-1),CDHDH
MODE,352,FREQUENCY=,449.63803,(CM**-1),CDHDH
MODE,353,FREQUENCY=,570.65503,(CM**-1),CDHDH
MODE,354,FREQUENCY=,945.17032,(CM**-1),CDHDH
MODE,355,FREQUENCY=,1202.26362,(CM**-1),CDHDH
MODE,356,FREQUENCY=,1425.23667,(CM**-1),CDHDH
MODE,357,FREQUENCY=,2377.39874,(CM**-1),CDHDH
MODE,358,FREQUENCY=,2593.70908,(CM**-1),CDHDH
MODE,359,FREQUENCY=,3209.74795,(CM**-1),CDHDH
MODE,360,FREQUENCY=,3313.10719,(CM**-1),CDHDH
,,,,,
,,,,,
12-2-2-1-1,,,,,
MODE,1,FREQUENCY=,-139.72381,(CM**-1),CDDHH
MODE,341,FREQUENCY=,76.06584,(CM**-1),CDDHH
MODE,342,FREQUENCY=,87.93663,(CM**-1),CDDHH
MODE,343,FREQUENCY=,113.79639,(CM**-1),CDDHH
MODE,344,FREQUENCY=,128.24858,(CM**-1),CDDHH
MODE,345,FREQUENCY=,131.33154,(CM**-1),CDDHH
MODE,346,FREQUENCY=,204.97813,(CM**-1),CDDHH
MODE,347,FREQUENCY=,220.2626,(CM**-1),CDDHH
MODE,348,FREQUENCY=,291.54997,(CM**-1),CDDHH
MODE,349,FREQUENCY=,338.52669,(CM**-1),CDDHH
MODE,350,FREQUENCY=,355.49242,(CM**-1),CDDHH
MODE,351,FREQUENCY=,372.69903,(CM**-1),CDDHH
MODE,352,FREQUENCY=,407.02588,(CM**-1),CDDHH
MODE,353,FREQUENCY=,544.26179,(CM**-1),CDDHH
MODE,354,FREQUENCY=,945.04808,(CM**-1),CDDHH
MODE,355,FREQUENCY=,1060.54598,(CM**-1),CDDHH
MODE,356,FREQUENCY=,1317.39937,(CM**-1),CDDHH
MODE,357,FREQUENCY=,2297.3345,(CM**-1),CDDHH
MODE,358,FREQUENCY=,2468.23113,(CM**-1),CDDHH
MODE,359,FREQUENCY=,2593.70868,(CM**-1),CDDHH
MODE,360,FREQUENCY=,3265.31345,(CM**-1),CDDHH
,,,,,
,,,,,
12-1-2-2-2,,,,,
MODE,1,FREQUENCY=,-141.58303,(CM**-1),CHDDD
MODE,341,FREQUENCY=,76.96898,(CM**-1),CHDDD
MODE,342,FREQUENCY=,86.7785,(CM**-1),CHDDD
MODE,343,FREQUENCY=,113.94613,(CM**-1),CHDDD
MODE,344,FREQUENCY=,124.16438,(CM**-1),CHDDD
MODE,345,FREQUENCY=,128.94865,(CM**-1),CHDDD
MODE,346,FREQUENCY=,203.83794,(CM**-1),CHDDD
MODE,347,FREQUENCY=,218.08705,(CM**-1),CHDDD
MODE,348,FREQUENCY=,231.59083,(CM**-1),CHDDD
MODE,349,FREQUENCY=,330.39488,(CM**-1),CHDDD
MODE,350,FREQUENCY=,351.80604,(CM**-1),CHDDD
MODE,351,FREQUENCY=,359.33563,(CM**-1),CHDDD
MODE,352,FREQUENCY=,409.40478,(CM**-1),CHDDD
MODE,353,FREQUENCY=,523.39511,(CM**-1),CHDDD
MODE,354,FREQUENCY=,685.77205,(CM**-1),CHDDD
MODE,355,FREQUENCY=,1061.45321,(CM**-1),CHDDD
MODE,356,FREQUENCY=,1311.29383,(CM**-1),CHDDD
MODE,357,FREQUENCY=,1863.02426,(CM**-1),CHDDD
MODE,358,FREQUENCY=,2297.10437,(CM**-1),CHDDD
MODE,359,FREQUENCY=,2473.67393,(CM**-1),CHDDD
MODE,360,FREQUENCY=,3258.95787,(CM**-1),CHDDD
,,,,,
,,,,,
12-2-1-2-2,,,,,
MODE,1,FREQUENCY=,-142.08273,(CM**-1),CDHDD
MODE,341,FREQUENCY=,78.01448,(CM**-1),CDHDD
MODE,342,FREQUENCY=,89.42963,(CM**-1),CDHDD
MODE,343,FREQUENCY=,124.36018,(CM**-1),CDHDD
MODE,344,FREQUENCY=,126.82774,(CM**-1),CDHDD
MODE,345,FREQUENCY=,132.45374,(CM**-1),CDHDD
MODE,346,FREQUENCY=,206.35201,(CM**-1),CDHDD
MODE,347,FREQUENCY=,218.12592,(CM**-1),CDHDD
MODE,348,FREQUENCY=,232.21841,(CM**-1),CDHDD
MODE,349,FREQUENCY=,343.58858,(CM**-1),CDHDD
MODE,350,FREQUENCY=,351.74239,(CM**-1),CDHDD
MODE,351,FREQUENCY=,402.56745,(CM**-1),CDHDD
MODE,352,FREQUENCY=,446.15081,(CM**-1),CDHDD
MODE,353,FREQUENCY=,570.12316,(CM**-1),CDHDD
MODE,354,FREQUENCY=,686.02033,(CM**-1),CDHDD
MODE,355,FREQUENCY=,1202.25104,(CM**-1),CDHDD
MODE,356,FREQUENCY=,1425.23461,(CM**-1),CDHDD
MODE,357,FREQUENCY=,1863.06264,(CM**-1),CDHDD
MODE,358,FREQUENCY=,2377.39959,(CM**-1),CDHDD
MODE,359,FREQUENCY=,3209.74681,(CM**-1),CDHDD
MODE,360,FREQUENCY=,3313.10614,(CM**-1),CDHDD
,,,,,
,,,,,
12-2-2-1-2,,,,,
MODE,1,FREQUENCY=,-139.72414,(CM**-1),CDDHD
