,Mode,,Frequency,,Isotopologue
MODE,139,FREQUENCY=,1448.10376,(CM**-1),CHHHH
MODE,140,FREQUENCY=,1458.64497,(CM**-1),CHHHH
MODE,141,FREQUENCY=,1466.97556,(CM**-1),CHHHH
MODE,142,FREQUENCY=,1482.33944,(CM**-1),CHHHH
MODE,143,FREQUENCY=,1493.19579,(CM**-1),CHHHH
MODE,144,FREQUENCY=,1494.12891,(CM**-1),CHHHH
MODE,145,FREQUENCY=,1494.73002,(CM**-1),CHHHH
MODE,146,FREQUENCY=,1497.84413,(CM**-1),CHHHH
MODE,147,FREQUENCY=,1499.48524,(CM**-1),CHHHH
MODE,148,FREQUENCY=,1501.17101,(CM**-1),CHHHH
MODE,149,FREQUENCY=,1501.37364,(CM**-1),CHHHH
MODE,150,FREQUENCY=,1506.96394,(CM**-1),CHHHH
MODE,151,FREQUENCY=,1509.02140,(CM**-1),CHHHH
MODE,152,FREQUENCY=,1509.54404,(CM**-1),CHHHH
MODE,153,FREQUENCY=,1510.06293,(CM**-1),CHHHH
MODE,154,FREQUENCY=,1513.87121,(CM**-1),CHHHH
MODE,155,FREQUENCY=,1526.36663,(CM**-1),CHHHH
MODE,156,FREQUENCY=,1532.09439,(CM**-1),CHHHH
MODE,157,FREQUENCY=,1550.70753,(CM**-1),CHHHH
MODE,158,FREQUENCY=,1552.89976,(CM**-1),CHHHH
MODE,159,FREQUENCY=,1600.39694,(CM**-1),CHHHH
MODE,160,FREQUENCY=,1630.77194,(CM**-1),CHHHH
MODE,161,FREQUENCY=,1633.93193,(CM**-1),CHHHH
MODE,162,FREQUENCY=,1636.10504,(CM**-1),CHHHH
MODE,163,FREQUENCY=,1676.60064,(CM**-1),CHHHH
MODE,164,FREQUENCY=,1730.00684,(CM**-1),CHHHH
MODE,165,FREQUENCY=,1737.29448,(CM**-1),CHHHH
MODE,166,FREQUENCY=,3059.05888,(CM**-1),CHHHH
MODE,167,FREQUENCY=,3061.36370,(CM**-1),CHHHH
MODE,168,FREQUENCY=,3062.11040,(CM**-1),CHHHH
MODE,169,FREQUENCY=,3066.27372,(CM**-1),CHHHH
MODE,170,FREQUENCY=,3066.45703,(CM**-1),CHHHH
MODE,171,FREQUENCY=,3066.94662,(CM**-1),CHHHH
MODE,172,FREQUENCY=,3091.86763,(CM**-1),CHHHH
MODE,173,FREQUENCY=,3120.82260,(CM**-1),CHHHH
MODE,174,FREQUENCY=,3126.70959,(CM**-1),CHHHH
MODE,175,FREQUENCY=,3129.26887,(CM**-1),CHHHH
MODE,176,FREQUENCY=,3132.43943,(CM**-1),CHHHH
MODE,177,FREQUENCY=,3135.13210,(CM**-1),CHHHH
MODE,178,FREQUENCY=,3135.97701,(CM**-1),CHHHH
MODE,179,FREQUENCY=,3139.60686,(CM**-1),CHHHH
MODE,180,FREQUENCY=,3152.26755,(CM**-1),CHHHH
MODE,181,FREQUENCY=,3163.19972,(CM**-1),CHHHH
MODE,182,FREQUENCY=,3168.64656,(CM**-1),CHHHH
MODE,183,FREQUENCY=,3168.85910,(CM**-1),CHHHH
MODE,184,FREQUENCY=,3172.82052,(CM**-1),CHHHH
MODE,185,FREQUENCY=,3204.49894,(CM**-1),CHHHH
MODE,186,FREQUENCY=,3219.40545,(CM**-1),CHHHH
MODE,187,FREQUENCY=,3236.63937,(CM**-1),CHHHH
MODE,188,FREQUENCY=,3279.38965,(CM**-1),CHHHH
MODE,189,FREQUENCY=,3298.61061,(CM**-1),CHHHH
MODE,190,FREQUENCY=,3299.58559,(CM**-1),CHHHH
MODE,191,FREQUENCY=,3314.43917,(CM**-1),CHHHH
MODE,192,FREQUENCY=,3389.84466,(CM**-1),CHHHH
MODE,193,FREQUENCY=,3659.80886,(CM**-1),CHHHH
MODE,194,FREQUENCY=,3662.88139,(CM**-1),CHHHH
MODE,195,FREQUENCY=,3696.79566,(CM**-1),CHHHH
12-1-1-1-2,,,,,
MODE,1,FREQUENCY=,-890.45772,(CM**-1),CHHHD
MODE,8,FREQUENCY=,24.09022,(CM**-1),CHHHD
MODE,9,FREQUENCY=,32.24814,(CM**-1),CHHHD
MODE,10,FREQUENCY=,33.08824,(CM**-1),CHHHD
