series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2p,gammaCDff2s,gammaDDff2pp,gammaDDff2ps,gammaCDff3,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.37478991596638656,0.021016332625492705,0.18415426319278794,6.2774598254541,1.1228242630415959,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.38151260504201684,0.020686505306802026,0.18155411019096337,6.115520184327998,0.8095224170893585,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.38823529411764707,0.020360857522668457,0.17897806916582865,5.957553370159513,0.5101922827790462,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.39495798319327735,0.020039264501131245,0.17642544274415722,5.8034186606282665,0.22427568630515196,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4016806722689076,0.01972160766162377,0.17389556809603232,5.652983178398306,-0.048752791167980286,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4084033613445378,0.019407785538533822,0.17138789584579142,5.506139220577661,-0.30930779233548644,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4151260504201681,0.019097698234656728,0.16890187981352806,5.362780119719014,-0.5578006808269333,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4218487394957984,0.018791241884047353,0.16643693769931908,5.222791453164868,-0.7946793276487799,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4285714285714286,0.01848831773549284,0.1639925162977294,5.086065227197912,-1.0203649054957094,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.43529411764705883,0.018188831755854413,0.16156808916017376,4.9524993455593584,-1.2352541211987824,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4420168067226891,0.017892687117332357,0.1591631023796116,4.821985664417035,-1.4397730111276643,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.44873949579831934,0.017599802256054762,0.1567771064018432,4.694438912529974,-1.6342465177550798,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4554621848739496,0.017310105081914922,0.15440971459965286,4.569787692294783,-1.818938413116113,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.46218487394957986,0.017023515825251242,0.15206047879471135,4.447947105983347,-1.9941746812034666,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.46890756302521014,0.01673995702097827,0.14972896195250143,4.3288345919297235,-2.160272586877689,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.47563025210084037,0.016459354596597045,0.14741474643158062,4.21237173080738,-2.317532431980956,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4823529411764706,0.01618163496490134,0.1451174129200534,4.098479694861945,-2.4662580571630595,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4890756302521009,0.015906729444499917,0.1428365731919004,3.9870862734705645,-2.6067250680426537,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.4957983193277311,0.01563457795503718,0.1405718977258157,3.878131877323406,-2.7391532922810806,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5025210084033613,0.015365120203609804,0.13832305120663171,3.771555661753823,-2.86376936121309,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5092436974789916,0.015098294351785058,0.13608968275152383,3.667293334762138,-2.9808169306223453,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5159663865546219,0.014834041054270974,0.1338714558108787,3.565283583824341,-3.090527583508478,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5226890756302521,0.014572303196717179,0.13166804653688777,3.465467563858308,-3.1931233696077292,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5294117647058824,0.014313025258493864,0.1294791396664771,3.3677872255910617,-3.2888258144641185,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5361344537815127,0.014056154871457411,0.1273044388661928,3.2721902510986496,-3.3778283446026007,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5428571428571429,0.013801642492302339,0.12514366467591898,3.178629309053617,-3.4603001038376116,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5495798319327732,0.013549438739702543,0.12299653703624097,3.0870542249928907,-3.536429111935443,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5563025210084034,0.013299495974369507,0.12086278572611965,2.997416905051924,-3.6063948985446554,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5630252100840336,0.013051768194379955,0.11874214973450961,2.9096711964945157,-3.6703690916005898,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5697478991596638,0.012806211113495333,0.1166343786975092,2.823772372447091,-3.72851924568953,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5764705882352941,0.012562781756742384,0.1145392287467335,2.739677700283238,-3.781003502207066,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5831932773109244,0.012321438084965,0.11245645864158942,2.657346967396402,-3.8279656237279953,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.5899159663865546,0.012082139687001956,0.11038583815434586,2.576740683537702,-3.8695498168761935,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.596638655462185,0.011844847503309334,0.10832714531167939,2.4978204296744595,-3.9058973859227346,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.6033613445378152,0.011609523605186427,0.10628016422962701,2.4205491007724818,-3.9371442847106923,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.6100840336134454,0.01137613094089376,0.1042446832857947,2.3448903789978046,-3.963423752393696,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.6168067226890757,0.011144633320778191,0.10222049509413765,2.2708087471011216,-3.9848662035941453,0.05239605903625488,80.56972513688488,500.0,True,0.195
Intermediate-reversibility model,central,0,0.5,0.8,0.5,0.9749,1.0,0.9256,0.9255,1.0,0.6235294117647059,0.010914996285664974,0.10020740320289068,2.1982715371615016,-4.001588662263845,0.05239605903625488,80.56972513688488,500.0,True,0.195
