series,run_name,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,central_rev1,central_rev2,central_rev3,central_gammaCDff2,central_gammaDDff2,solve_seconds,t_end,tmax,event_reached,f_stop
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.5991596638655462,0.0031701761854842276,0.0842527132091314,6.905645801804573,19.760032107072885,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6067226890756302,0.0030976371720312793,0.08264066755649233,6.737139462385071,19.302503430235657,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6142857142857142,0.003025933560040978,0.08103252282813797,6.570437993135605,18.850013769148898,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6218487394957983,0.002955041415489598,0.07942816028758883,6.405492394273045,18.40237131067761,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6294117647058823,0.0028849364557446346,0.07782745494928378,6.242251245809445,17.959369013207997,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6369747899159663,0.0028156128063140883,0.07623042968452878,6.08072323052495,17.521112137822758,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6445378151260504,0.0027470555515269604,0.07463703061807193,5.920886131870626,17.08754338656589,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6521008403361345,0.0026792463354180763,0.07304717286617847,5.762705263482537,16.658538236599213,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6596638655462185,0.0026121676444781036,0.0714607757869428,5.6061477506372155,16.233979671498908,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6672268907563025,0.0025458022494492696,0.06987775845081678,5.45118070584961,15.813748557334844,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6747899159663865,0.0024801311973456234,0.06829802287488539,5.297764477795953,15.397687511854674,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6823529411764706,0.0024151378989463873,0.06672148849315472,5.145866484873731,14.985674962170595,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6899159663865546,0.002350817747845984,0.0651481733999085,4.995493923196976,14.57780116785894,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.6974789915966386,0.002287155681728242,0.06357800574849307,4.846617967672493,14.173962291743003,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.7050420168067226,0.0022241372850584852,0.0620109170652879,4.699211214371198,13.774060458197116,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.7126050420168067,0.0021617487547818024,0.06044684207269841,4.5532476069490535,13.378003461602407,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.7201680672268908,0.002099976192900237,0.05888571267011778,4.408700034410858,12.98569163753626,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.7277310924369748,0.002038804943278916,0.05732745227321038,4.265538066725507,12.597005425968087,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.7352941176470588,0.0019782257090567804,0.0557720289132466,4.123749112289132,12.21192195348574,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.7428571428571429,0.0019182288440300745,0.054219406009266745,3.983318837344239,11.830407781969491,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.7504201680672269,0.0018588024233594758,0.05266952569764759,3.844224492790923,11.452381820063065,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.7579831932773109,0.0017999345710201528,0.051122329110655444,3.706442990340613,11.077759754860402,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.7655462184873949,0.00174161629745617,0.04957778012840969,3.569960290952795,10.706506197244078,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.773109243697479,0.0016838372473855544,0.04803583000542022,3.434757430312978,10.338557407424585,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
AOM_P,central,0.78,0.54,0.03,0.979,0.92,0.780672268907563,0.0016265867800366784,0.046496426375699784,3.3008140878668697,9.973840955229615,0.78,0.54,0.03,0.979,0.92,0.04102015495300293,205.87367754429093,500.0,True,0.095
