series,run_name,sample_id,rev1,rev2,rev3,gammaCDff2,gammaDDff2,f,ln(c/c0),ln(d/d0),DeltaCD,DeltaDD,solve_seconds,t_end,tmax,event_reached,f_stop
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.43529411764705883,0.050544226755241665,0.18369025060748176,-10.959445300856157,-34.30913821717049,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4420168067226891,0.04962538172604489,0.18035108592106613,-10.761370973297772,-33.69602120740263,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.44873949579831934,0.048719810411198196,0.17706014957224156,-10.566118080271277,-33.091386144283256,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4554621848739496,0.04782714075708044,0.17381609243278842,-10.373606952699443,-32.49499859167372,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.46218487394957986,0.046947016479138466,0.17061762273261263,-10.183761179382797,-31.906633598312393,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.46890756302521014,0.04607908632977082,0.16746346285754066,-9.996507264644144,-31.326072009448595,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.47563025210084037,0.04522301075032108,0.16435237654443874,-9.811774673924496,-30.753102657083556,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4823529411764706,0.04437847091785513,0.16128320570321694,-9.629495982076827,-30.187525592587797,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4890756302521009,0.04354516684538959,0.15825486319161317,-9.449606595447767,-29.629150908283936,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.4957983193277311,0.04272280311946927,0.15526627556271075,-9.272044160643267,-29.077793131493586,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5025210084033613,0.041911093011636494,0.15231639975882535,-9.096748672060293,-28.533272913748558,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5092436974789916,0.0411097607428028,0.14940423246548845,-8.92366245164897,-27.99541779029175,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5159663865546219,0.0403185472415046,0.14652883358138924,-8.752730231878528,-27.46406425969554,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5226890756302521,0.039537204278546054,0.1436893028909115,-8.583898794534335,-26.939055143167543,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5294117647058824,0.038765486570666426,0.14088474837943166,-8.417116637209993,-26.420236453107346,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5361344537815127,0.038003156412326954,0.1381143050184504,-8.252334094456334,-25.90745923300146,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5428571428571429,0.037249987873575766,0.13537715181525023,-8.089503439143808,-25.40058124616252,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5495798319327732,0.036505767676506665,0.13267251555934353,-7.928578812482083,-24.89946714353637,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5563025210084034,0.03577028545879625,0.12999963185099264,-7.769515734812381,-24.40398421112654,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5630252100840336,0.035043336512557685,0.12735775616188402,-7.612271213694284,-23.914003633481933,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5697478991596638,0.034324723147578354,0.1247461694390109,-7.456803749312274,-23.42940102282443,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5764705882352941,0.03361425772776612,0.12216419045878875,-7.303073396148466,-22.950057612482972,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5831932773109244,0.032911760208171985,0.11961116609749663,-7.151041574967211,-22.47585903917896,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.5899159663865546,0.03221705260736496,0.11708644918419332,-7.000670811011742,-22.00669299181052,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.596638655462185,0.031529962356122966,0.11458941201004663,-6.851924865774892,-21.542450710540916,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6033613445378152,0.03085032367579995,0.11211945201107255,-6.704768726064627,-21.08302742979931,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6100840336134454,0.030177978924334208,0.1096759973349397,-6.5591685823739345,-20.628322771670902,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6168067226890757,0.02951277313363124,0.10725848487892044,-6.4150916156163005,-20.178238582690884,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6235294117647059,0.028854555599285566,0.10486636676450865,-6.2725060265463775,-19.73267955162895,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6302521008403361,0.02820318046136592,0.1024991127710974,-6.131381013706253,-19.291553372275526,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6369747899159663,0.027558507157271823,0.10015621223912065,-5.991686757666256,-18.854770908354755,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6436974789915967,0.02692039983649561,0.09783717180184641,-5.853394356412192,-18.422245871219417,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6504201680672269,0.026288725960777762,0.09554150981784058,-5.716475737355041,-17.993894160348816,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6571428571428573,0.025663357291758986,0.0932687604007254,-5.580903677630166,-17.56963430045601,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6638655462184875,0.025044169068463833,0.09101847016890904,-5.446651744533612,-17.149387057771172,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6705882352941177,0.024431040300613258,0.08879019948748477,-5.313694280256054,-16.733075530447316,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6773109243697479,0.023823853687056265,0.08658352220349803,-5.182006369478964,-16.320625067906708,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6840336134453782,0.023222494990536573,0.0843980231515176,-5.051563810978998,-15.911963054790997,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6907563025210084,0.022626853511986234,0.08223330011510525,-4.9223431140878136,-15.507019089480412,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.6974789915966386,0.02203682150407628,0.08008896155610017,-4.7943214263473966,-15.105724593312397,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7042016806722688,0.021452294217253587,0.07796462683769746,-4.6674765206581,-14.70801282806498,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7109243697478993,0.02087317006641767,0.07585992695059145,-4.54178677572199,-14.313818918171082,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7176470588235295,0.020299349972414015,0.07377450182436406,-4.417231183793051,-13.923079761150808,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.7243697478991598,0.01973073765908787,0.07170800157974742,-4.293789334641087,-13.535734093787912,0.04170703887939453,40.28366353970489,1000.0,True,0.195
MCR KIE (Ab initio),central,0,0.0,0.0,0.0,0.979,0.92,0.73109243697479,0.019167239472244118,0.06966008590454023,-4.17144134751266,-13.151722212706957,0.04170703887939453,40.28366353970489,1000.0,True,0.195
